id,qualification,preferred,skills
119945,"['개발', 'IOS', '설계', 'ANDROID', '관리', 'FLUTTER']","['개발', '최적화']","['GIT', 'MYSQL', 'JAVA', 'KOTLIN', 'SQL', 'SPRING FRAMEWORK']"
160252,"['개발', '웹 개발']",['개발'],
131890,"['개발', 'NODEJS']","['JAVASCRIPT', 'PYTHON', 'BASH']","['JAVA', 'JAVASCRIPT', 'AWS', 'TCP', 'C++', 'UDP', 'GCP', 'UNITY3D', 'REACT.JS']"
134800,[],[],"['ASP .NET', 'C#', 'HTML', 'JAVASCRIPT', 'PYTHON', 'SQL', 'AWS', 'C++', 'SPRING FRAMEWORK']"
157084,"['개발', 'DOCKER', 'GOLANG', 'HYPERLEDGER', 'LINUX']",[],"['JAVASCRIPT', 'JENKINS', 'REACT NATIVE']"
138826,['네트워크 인프라'],[],"['HCI', 'AZURE', 'C / C++', 'JAVA', 'PYTHON', 'SQL', 'AWS', 'STORAGE', 'VM웨어', 'CITRIX', 'GCP', 'VDI']"
159568,"['TENSORFLOW', 'PYTHON', 'ML', 'PYTORCH']","['개발', 'ML', '설계', '최적화', '모델링']",
141840,[],[],"['VUEJS', 'JQUERY', 'REACT.JS', 'REACT NATIVE']"
152367,"['개발', '서버', 'C', 'AWS', 'AZURE']","['개발', '서버']",
164696,['MVC'],['AZURE'],"['AJAX', 'AZURE', 'ASP .NET', 'JAVASCRIPT', 'JQUERY', 'HTML5', 'CSS3', 'MICROSOFT SERVER', 'MSSQL']"
82684,"['개발', 'JAVA', 'API 개발', 'LARAVEL', 'MYSQL', 'REST', 'PHP']","['ELASTICSEARCH', '개발']",
157361,"['개발', 'SPRING BOOT', 'API', 'DJANGO', '설계', 'REST', 'REACT']","['DOCKER', '개발', 'AWS']","['LINUX', 'REACT', 'AWS', 'DOCKER', 'SPRING FRAMEWORK']"
40219,['JAVA'],"['개발', 'WEB SOCKET', '솔루션 개발', '네트워크 통신']","['GITHUB', 'ANDROID', 'MYSQL', 'C / C++', 'HTML', 'JAVASCRIPT', 'KOTLIN', 'PYTHON', 'SQL', 'C++']"
