Key,Kalue
61993,"['GIT', 'LINUX', 'MONGODB', 'MYSQL', 'REACT', 'REDIS', 'C / C++', 'CSS', 'HTML', 'JAVA', 'JAVASCRIPT', 'PHP', 'SQL', 'API', 'DOCKER', '컴퓨터 공학', 'CSS3', 'CSS 자바 스크립트', 'SPRING FRAMEWORK', 'RESTFUL API']"
148009,
152197,"['GIT', 'LINUX', 'MONGODB', 'MYSQL', 'REACT', 'REDIS', 'C / C++', 'CSS', 'HTML', 'JAVA', 'JAVASCRIPT', 'PHP', 'SQL', 'API', 'DOCKER', '컴퓨터 공학', 'CSS3', 'CSS 자바 스크립트', 'SPRING FRAMEWORK', 'RESTFUL API']"
155190,"['ANDROID', 'IOS', 'JAVA', 'JAVASCRIPT', 'KOTLIN', 'PYTHON', 'SWIFT', 'POSTGRESQL', 'SPRING FRAMEWORK']"
163075,
145806,"['GIT', '.NET', 'REACT', 'ASP', 'C#', 'HTML', 'JAVA', 'JAVASCRIPT', 'AWS', 'JQUERY', 'HTML5', 'NOSQL', 'DOCKER', 'DART FOR PUBLISHERS', 'FLUTTER']"
72383,
157479,"['GITHUB', 'ANDROID', 'FIREBASE', 'IOS', 'MYSQL', 'JAVA', 'JAVASCRIPT', 'PHP', 'PYTHON', 'AWS']"
141262,
74170,"['HCI', 'LINUX', '인프라', 'VM웨어', 'ACTIVE DIRECTORY', 'WINDOWS 서버', '시스템 관리', 'VDI', '시스템 구축', 'VMWARE INFRASTRUCTURE', 'WINDOWS 원격 데스크톱']"
37396,
162564,
163112,"['GIT', 'ANDROID', 'IOS', 'MYSQL', 'JAVASCRIPT', 'KOTLIN', 'NODE.JS', 'PHP', 'SWIFT', 'AWS', 'PRODUCT MANAGEMENT ', 'SPRING FRAMEWORK', 'QA 엔지니어링']"
47634,
152114,
149367,"['AWS', 'ML']"
161771,
134845,
133254,"['SQL', 'AWS', 'POS', 'RFP', '네트워크 설계']"
139342,"['ANDROID', 'JAVA', 'KOTLIN']"
164125,"['GRAPHQL', 'NODE.JS', 'TYPESCRIPT', 'AWS', 'NEST.JS']"
136677,"['VUEJS', 'TYPESCRIPT']"
161898,"['GITHUB', 'PYTHON', 'AWS']"
156432,"['GIT', 'GITHUB', 'GRAPHQL', 'REACT', 'JAVASCRIPT', 'NODE.JS', 'TYPESCRIPT', 'HTML5', 'RESTFUL WEBSERVICES', 'REACT NATIVE', 'ES6']"
79538,"['GIT', 'JAVA', 'JAVASCRIPT', 'PYTHON']"
40521,
160496,"['CONFLUENCE', 'GITHUB', 'GITLAB', 'JIRA', 'JAVA', 'JAVASCRIPT', 'C', 'C++', 'RDBMS', 'JSP', 'MFC', 'SPRING BOOT']"
109508,"['LINUX', 'C / C++', 'PERL', 'PYTHON', 'FPGA', 'SOC', 'VERILOG', 'EMBEDDED LINUX', 'EDA', 'FPGA 프로토 타이핑']"
159887,"['GITHUB', 'MYSQL', 'REACT', 'JAVA', 'JAVASCRIPT', 'SQL', 'AWS', 'REST', 'DOCKER', 'SPRING FRAMEWORK', 'JPA', 'REACT.JS']"
156508,"['GIT', 'HTML', 'JAVASCRIPT', '소프트웨어 개발', '웹 개발', '수학', '컴퓨터 비전', '의료 영상', '프론트엔드 개발자']"
50044,"['GITHUB', 'ANDROID', 'IOS', 'HTML', 'JAVASCRIPT', 'PYTHON', 'SQL', 'SWIFT']"
163968,"['SAP', 'AWS', 'SAP ERP']"
77779,"['ZEPLIN', 'GIT', 'CSS', 'JAVASCRIPT', 'JQUERY', 'LESS', 'SASS', 'GRUNTJS', 'ADOBE XD', 'FIGMA']"
139470,
159921,"['CONFLUENCE', 'GIT', 'JIRA', 'SLACK', 'KOTLIN', 'AWS', 'FLUTTER']"
99189,"['GIT', 'LINUX', 'C / C++', 'JAVA', 'SQL', 'UNIX', 'DOCKER']"
164146,"['GIT', '.NET', 'IOS', 'MYSQL', 'REACT', 'JAVA', 'JAVASCRIPT', 'VB .NET', 'VISUAL BASIC', 'VISUAL STUDIO', 'VBA', 'SPRING FRAMEWORK', 'IOS 개발', 'MSSQL', 'SPRING BOOT']"
153345,
123623,"['GIT', 'SQL', 'AWS', 'NOSQL', 'SPRING FRAMEWORK']"
