Key,Value
74170,"['HCI', 'Linux', '인프라', 'VM웨어', 'Active Directory', 'Windows 서버', '시스템 관리', 'VDI', '시스템 구축', 'VMware Infrastructure', 'Windows 원격 데스크톱']"
37396,
162564,
163112,"['Git', 'Android', 'iOS', 'MySQL', 'JavaScript', 'Kotlin', 'Node.js', 'PHP', 'Swift', 'AWS', 'Product Management ', 'Spring Framework', 'QA 엔지니어링']"
47634,
152114,
149367,"['AWS', 'ML']"
161771,
134845,
133254,"['SQL', 'AWS', 'POS', 'RFP', '네트워크 설계']"
139342,"['Android', 'Java', 'Kotlin']"
164125,"['GraphQL', 'Node.js', 'TypeScript', 'AWS', 'Nest.js']"
136677,"['VueJS', 'TypeScript']"
161898,"['Github', 'Python', 'AWS']"
156432,"['Git', 'Github', 'GraphQL', 'React', 'JavaScript', 'Node.js', 'TypeScript', 'HTML5', 'RESTful WebServices', 'React Native', 'ES6']"
79538,"['Git', 'Java', 'JavaScript', 'Python']"
40521,
160496,"['Confluence', 'Github', 'GitLab', 'JIRA', 'Java', 'JavaScript', 'C', 'C++', 'RDBMS', 'JSP', 'MFC', 'Spring Boot']"
109508,"['Linux', 'C / C++', 'Perl', 'Python', 'FPGA', 'SoC', 'Verilog', 'Embedded Linux', 'EDA', 'FPGA 프로토 타이핑']"
159887,"['Github', 'MySQL', 'React', 'Java', 'JavaScript', 'SQL', 'AWS', 'REST', 'Docker', 'Spring Framework', 'JPA', 'React.js']"
156508,"['Git', 'HTML', 'JavaScript', '소프트웨어 개발', '웹 개발', '수학', '컴퓨터 비전', '의료 영상', '프론트엔드 개발자']"
50044,"['Github', 'Android', 'iOS', 'HTML', 'JavaScript', 'Python', 'SQL', 'Swift']"
163968,"['SAP', 'AWS', 'SAP ERP']"
77779,"['Zeplin', 'Git', 'CSS', 'JavaScript', 'jQuery', 'LESS', 'SASS', 'GruntJS', 'Adobe XD', 'Figma']"
139470,
159921,"['Confluence', 'Git', 'JIRA', 'Slack', 'Kotlin', 'AWS', 'Flutter']"
99189,"['Git', 'Linux', 'C / C++', 'Java', 'SQL', 'UNIX', 'Docker']"
164146,"['Git', '.NET', 'iOS', 'MySQL', 'React', 'Java', 'JavaScript', 'VB .NET', 'Visual Basic', 'Visual Studio', 'VBA', 'Spring Framework', 'iOS 개발', 'MSSQL', 'Spring Boot']"
153345,
123623,"['Git', 'SQL', 'AWS', 'NoSQL', 'Spring Framework']"
154895,"['Amazon Web Service', 'Linux', '인프라', 'AWS', '서버', 'DNS', 'Windows 서버', 'Apache', 'DHCP', '시스템 관리', 'CentOS', '서버 관리', 'Ubuntu', 'Nginx', '서버 관리', 'LIS', '시스템 구축']"
161486,"['Git', 'Django', 'Flask', 'MongoDB', 'MySQL', 'Python', 'AWS', 'FastAPI']"
49899,"['Git', 'Github', 'JIRA', 'Slack', 'Java', 'AWS', 'Spring Framework', 'ORM', 'Notion']"
159656,
137300,"['Github', 'Linux', 'HTML', 'Java', 'JavaScript', 'SQL', 'Spring Framework']"
162949,"['Android', 'iOS', 'Flutter', 'Restful API']"
97049,"['iOS', 'Swift', 'Restful API']"
101397,"['SQL', 'API']"
56396,
163963,
140389,"['Github', 'Azure', 'Linux', 'MySQL', 'C / C++', 'JSON', 'MSSQL']"
159011,"['Python', 'Apache', 'ElasticSearch', 'Apache Spark', 'Apache Kafka', 'FastAPI']"
161420,"['MySQL', 'Java', 'JavaScript', 'Node.js', 'AWS', 'Spring Framework']"
164002,
89329,"['Github', 'Pytorch', 'React', 'Tensorflow', 'C / C++', 'Python', 'Docker', 'Golang']"
